ID,Date,Uric,Year,Plastic
162-83008,2-May-14,0.5,2014,0.000
162-83009,2-May-14,0.89,2014,0.000
162-83011,2-May-14,0.12,2014,0.000
162-83015,2-May-14,0.08,2014,0.000
162-83017,2-May-14,0.14,2014,0.000
162-83030,5-May-14,0.11,2014,0.000
162-83031,5-May-14,0.2,2014,0.000
162-83033,5-May-14,0.13,2014,0.000
162-83034,5-May-14,0.09,2014,0.000
162-83043,5-May-14,0.22,2014,0.000
162-83046,7-May-14,0.27,2014,0.000
162-83047,7-May-14,0.2,2014,0.000
162-83057,9-May-14,0.37,2014,0.000
UB5,7-May-14,0.47,2014,0.000
UB7,9-May-14,0.65,2014,0.000
162-83007,2-May-14,0.14,2014,0.154
162-83016,2-May-14,0.15,2014,0.007
162-83019,5-May-14,0.11,2014,0.179
162-83032,5-May-14,0.16,2014,0.091
162-83053,7-May-14,0.08,2014,0.430
162-83056,7-May-14,0.32,2014,0.078
162-83058 (UB8),9-May-14,0.13,2014,0.978
162-83060,9-May-14,0.28,2014,0.025
162-83061,9-May-14,0.21,2014,0.125
UB3,7-May-14,4.51,2014,0.316
UB4,7-May-14,1.26,2014,0.213
