ID,Date,Glu_I,Ca_I,Cr_I,Na,K,Cl,CO2,BUN,Cr_Z,Glu_Z,Ca_Z,An,HCT,Hb,Mass,WC,Cul,HB,Plas.mass,Plas.num,Plas.FO
162-83008,2-May-14,14.8,2.4,1064,,,,,,,,,,,,515,312,43.5,95.1,0,0,0
162-83009,2-May-14,11.7,2.4,1776,,,,,,,,,,,,715,302,40,90,0,0,0
162-83011,2-May-14,11.9,,1840,,,,,,,,,,,,555,274,40.2,88.9,0,0,0
162-83015,2-May-14,14,2.2,1194,,,,,,,,,,,,770,323,44.5,98.5,0,0,0
162-83017,2-May-14,13.8,2.3,1307,,,,,,,,,,,,785,295,42,95.4,0,0,0
162-83007,2-May-14,17.5,2.4,1000,,,,,,,,,,,,805,312,43.4,96,0.154,9,1
162-83016,2-May-14,10.8,,955,,,,,,,,,,,,700,299,40.2,90.7,0.007,1,1
162-83030,5-May-14,15.8,2.6,1156,,,,,,,,,,,,705,292,42.4,94,0,0,0
162-83031,5-May-14,13.1,2.5,2307,,,,,,,,,,,,720,305,40,92.3,0,0,0
162-83033,5-May-14,15.1,2.5,1043,,,,,,,,,,,,745,310,43.8,98.7,0,0,0
162-83034,5-May-14,12.7,2.5,895,,,,,,,,,,,,660,322,40.7,93.4,0,0,0
162-83043,5-May-14,16.6,2.4,1963,,,,,,,,,,,,495,300,41.7,95.9,0,0,0
162-83019,5-May-14,12,2.4,1490,,,,,,,,,,,,750,320,43.6,95.5,0.179,1,1
162-83032,5-May-14,13.5,2.6,1307,,,,,,,,,,,,670,300,39.2,89.6,0.091,2,1
162-83046,7-May-14,12.5,2.5,1382,,,,,,,,,,,,660,315,41.8,96.3,0,0,0
162-83047,7-May-14,17.3,2.3,833,,,,,,,,,,,,660,298,40,93.4,0,0,0
UB5,7-May-14,16.3,2.3,3949,,,,,,,,,,,,270,247,41.4,90.8,0,0,0
162-83053,7-May-14,17,2.4,839,,,,,,,,,,,,500,234,39,87.7,0.43,3,1
162-83056,7-May-14,17.7,2.6,1930,,,,,,,,,,,,640,287,41,93.4,0.078,2,1
UB3,7-May-14,1.2,2,6264,,,,,,,,,,,,230,223,38.5,89,0.316,4,1
UB4,7-May-14,3.1,2.1,3029,,,,,,,,,,,,220,310,38.3,86,0.213,4,Y
162-83057,9-May-14,16.3,2.1,4078,,,,,,,,,,,,635,320,47,102.6,0,0,0
UB7,9-May-14,16,2.4,3702,,,,,,,,,,,,440,268,44.4,94.5,0,0,0
162-83058 (UB8),9-May-14,14.1,2.6,1221,,,,,,,,,,,,570,308,38.8,85.6,0.978,15,1
162-83060,9-May-14,19,2.2,3987,,,,,,,,,,,,630,315,42.6,95.3,0.025,1,1
162-83061,9-May-14,13,2.4,1955,,,,,,,,,,,,605,260,40.3,89,0.125,4,1
162-83868,4-May-15,13.8,2.4,847,,,,,,,,,,,,640,308,41,94.6,0,0,0
162-83869,4-May-15,14.8,2.7,1423,,,,,,,,,,,,545,306,39.5,93.5,0,0,0
162-83870,4-May-15,13.7,2.3,721,,,,,,,,,,,,720,320,40.2,94.8,0,0,0
162-83871,4-May-15,14.8,2.5,850,,,,,,,,,,,,675,316,40.9,95,0,0,0
162-83872,4-May-15,16.6,2.1,1695,,,,,,,,,,,,590,318,40.4,96.6,0,0,0
MB3,8-May-15,12.5,2.3,1545,,,,,,,,,,,,685,312,39,91.6,0.1196,2,1
MB2,8-May-15,18.1,2.6,2113,,,,,,,,,,,,610,273,38,87.7,1.3769,13,1
NL-2016-01,29-Apr-16,13.1,2.1,3914,,,,,,,,,,,,385,258,41,90.6,37.3267,113,1
162-87093,3-May-16,12.6,1.9,4450,,,,,,,,,,,,700,318,41.9,95.3,22.255,263,1
162-87094,3-May-16,11.9,2,1684,,,,,,,,,,,,560,294,41.3,94.1,18.1816,57,1
162-87096,5-May-16,16.7,2.6,555,,,,,,,,,,,,625,309,40.7,93.8,19.1714,133,1
162-87097,5-May-16,15.6,2.2,754,,,,,,,,,,,,575,299,41.2,95.4,5.6572,60,1
162-87098,8-May-16,18.2,2.4,521,,,,,,,,,,,,610,300,42.5,95.4,3.4955,43,1
162-83909,9-May-16,16.2,2.2,2450,,,,,,,,,,,,720,312,39,94,3.6024,32,1
NL-2017-12,1-May-17,17,2.4,2010,,,,,,,,,,,,285,256,40,87.8,6.7043,20,1
NL-2017-13,1-May-17,10.9,2.1,3377,,,,,,,,,,,,320,228,35.9,84.8,1.051,11,1
162-83945,3-May-17,15.6,2.2,9913,,,,,,,,,,,,670,290,41.1,94,27.463,116,1
NL-2017-24,4-May-17,12.8,2,11644,,,,,,,,,,,,305,240,40,93.8,3.921,27,1
162-87117,5-May-17,11.1,2.3,94466,,,,,,,,,,,,630,296,38.4,88.2,2.071,45,1
162-87127,6-May-17,13.3,2,28254,,,,,,,,,,,,560,297,41.8,94.8,0.587,16,1
162-87144,9-May-17,11.8,2.2,694,,,,,,,,,,,,685,306,39.2,93.2,0.429,21,1
162-87153,9-May-17,18.2,2.3,2872,,,,,,,,,,,,570,271,36.1,84.6,0.2,25,1
NL-2017-54,9-May-17,11,2.2,3952,,,,,,,,,,,,280,262,39.9,88.7,4.089,45,1
