"Response","Model","Lambda","Estimate","Adj_R2","P_Value","P_FDR","N"
"Glu_Z (2025)","Box-Cox LM",2.159,-954.075726074909,0.297753301512892,0.0000917845256789297,0.000917845256789297,43
"K (2025)","Box-Cox LM",-1.282,0.000667154606896073,0.10713456621615,0.0183063069524912,0.045765767381228,43
"HCT (2025)","Box-Cox LM",1.698,1.27346523938821,0.113505296437493,0.0155177517499201,0.045765767381228,43
"Hb (2025)","Box-Cox LM",1.682,0.196034002492032,0.113796460107637,0.0154008628249784,0.045765767381228,43
"Cl (2025)","Box-Cox LM",5,-27726671.9470431,0.0859871093690314,0.0316339877885765,0.0509054907344598,43
"CO2 (2025)","Box-Cox LM",-3.319,0.0000000983494588555654,0.0892932525823894,0.0290435431146317,0.0509054907344598,43
"Ca_Z (2025)","Box-Cox LM",4.386,-0.00391606876823243,0.0813802161240794,0.0356338435141219,0.0509054907344598,43
"Na (2025)","Box-Cox LM",5,-32447052.7759043,0.0420034280533309,0.0994561225059711,0.124320153132464,43
"An (2025)","Box-Cox LM",1.38,0.0893484166610717,0.0181606428757523,0.189896121017594,0.210995690019549,43
"Uric acid (2014)","Raw LM",NA,0.711925773468137,-0.0107337188338772,0.399903438270103,0.399903438270103,26
