"Outcome","Effect","Estimate","CI_lower","CI_upper","p_value","CI","p_display"
"calcium","ACME (indirect effect)",-0.033,-0.105,0.035,0.346,"[-0.105, 0.035]","0.3460"
"calcium","ADE (direct effect)",-0.212,-0.545,0.128,0.186,"[-0.545, 0.128]","0.1860"
"calcium","Total Effect",-0.245,-0.555,0.077,0.146,"[-0.555, 0.077]","0.1460"
"calcium","Proportion Mediated",0.134,-0.952,1.695,0.412,"[-0.952, 1.695]","0.4120"
"sodium","ACME (indirect effect)",0.035,-0.023,0.136,0.296,"[-0.023, 0.136]","0.2960"
"sodium","ADE (direct effect)",-0.155,-0.527,0.184,0.414,"[-0.527, 0.184]","0.4140"
"sodium","Total Effect",-0.12,-0.483,0.213,0.536,"[-0.483, 0.213]","0.5360"
"sodium","Proportion Mediated",-0.293,-4.629,3.435,0.708,"[-4.629, 3.435]","0.7080"
"potassium","ACME (indirect effect)",0.08,-0.054,0.21,0.256,"[-0.054, 0.21]","0.2560"
"potassium","ADE (direct effect)",0.254,0.03,0.53,0.034,"[0.03, 0.53]","0.0340"
"potassium","Total Effect",0.334,0.072,0.612,0.014,"[0.072, 0.612]","0.0140"
"potassium","Proportion Mediated",0.239,-0.318,0.803,0.25,"[-0.318, 0.803]","0.2500"
"chloride","ACME (indirect effect)",0.051,-0.034,0.169,0.286,"[-0.034, 0.169]","0.2860"
"chloride","ADE (direct effect)",-0.26,-0.585,0.069,0.136,"[-0.585, 0.069]","0.1360"
"chloride","Total Effect",-0.209,-0.537,0.113,0.228,"[-0.537, 0.113]","0.2280"
"chloride","Proportion Mediated",-0.243,-2.832,1.735,0.482,"[-2.832, 1.735]","0.4820"
"co2","ACME (indirect effect)",0.006,-0.09,0.052,0.97,"[-0.09, 0.052]","0.9700"
"co2","ADE (direct effect)",0.245,-0.053,0.57,0.124,"[-0.053, 0.57]","0.1240"
"co2","Total Effect",0.25,-0.038,0.547,0.106,"[-0.038, 0.547]","0.1060"
"co2","Proportion Mediated",0.022,-0.69,0.891,0.924,"[-0.69, 0.891]","0.9240"
"glucose","ACME (indirect effect)",-0.03,-0.147,0.029,0.444,"[-0.147, 0.029]","0.4440"
"glucose","ADE (direct effect)",-0.554,-0.784,-0.305,0,"[-0.784, -0.305]","<0.0001"
"glucose","Total Effect",-0.584,-0.807,-0.337,0,"[-0.807, -0.337]","<0.0001"
"glucose","Proportion Mediated",0.052,-0.058,0.276,0.444,"[-0.058, 0.276]","0.4440"
"anion","ACME (indirect effect)",-0.03,-0.139,0.034,0.49,"[-0.139, 0.034]","0.4900"
"anion","ADE (direct effect)",0.229,-0.099,0.53,0.126,"[-0.099, 0.53]","0.1260"
"anion","Total Effect",0.198,-0.119,0.491,0.174,"[-0.119, 0.491]","0.1740"
"anion","Proportion Mediated",-0.152,-2.069,1.171,0.584,"[-2.069, 1.171]","0.5840"
"hemoglobin","ACME (indirect effect)",-0.018,-0.164,0.059,0.648,"[-0.164, 0.059]","0.6480"
"hemoglobin","ADE (direct effect)",0.276,-0.022,0.594,0.07,"[-0.022, 0.594]","0.0700"
"hemoglobin","Total Effect",0.258,-0.031,0.543,0.078,"[-0.031, 0.543]","0.0780"
"hemoglobin","Proportion Mediated",-0.07,-1.189,0.627,0.682,"[-1.189, 0.627]","0.6820"
"hematocrit","ACME (indirect effect)",-0.017,-0.16,0.06,0.676,"[-0.16, 0.06]","0.6760"
"hematocrit","ADE (direct effect)",0.275,-0.025,0.595,0.07,"[-0.025, 0.595]","0.0700"
"hematocrit","Total Effect",0.259,-0.03,0.542,0.078,"[-0.03, 0.542]","0.0780"
"hematocrit","Proportion Mediated",-0.065,-1.207,0.611,0.702,"[-1.207, 0.611]","0.7020"
